ts	phase	decision	why	evidence	result
2026-09-01T16:07:21Z	frame	Use Cursor pstack commit b9ddc83c32972210b8a94d389130713e8eed346e as the migration source of truth	The user named the cloned Cursor tree as the oracle	/tmp/cursor-plugins-pstack.F0QiuP/pstack	157 upstream files and 45 skill entrypoints
2026-09-01T16:07:21Z	frame	Require every upstream file to be exact or explicitly translated for Codex	A file-count comparison missed platform-specific breakage such as .cursor rules and Task calls	plugins/pstack	Parity predicate defined before edits
2026-09-01T16:07:21Z	discovery	Treat unslop as a discovery and installation check, not a missing source file	The source tree and installed cache both contain skills/unslop/SKILL.md	plugins/pstack/skills/unslop/SKILL.md	Source exists; installed-package verification remains open
2026-09-01T16:07:21Z	rules	Translate Cursor always-applied rules into Codex skill discovery and a Codex model-config file	Official Codex documentation says persistent guidance uses AGENTS.md and plugins distribute skills, not Cursor rule components	https://developers.openai.com/codex/guides/agents-md/; https://developers.openai.com/codex/skills/	Translation design chosen
2026-09-01T16:29:19Z	sync	Port every file at the oracle revision and encode future drift as a rerunnable check	Manual directory comparison had already missed three upstream commits	scripts/check_pstack_cursor_parity.py; /tmp/cursor-plugins-pstack.F0QiuP/pstack	157 upstream files accounted for; final split is 77 exact, 80 translated, 4 Codex-only; 0 failures
2026-09-01T16:29:19Z	loader	Add icon metadata to the portable com.openai interface	The latest published Codex loader ignored the native icon when the portable interface extension existed	uv run python scripts/test_codex_plugins.py pstack	Codex CLI 0.152.0 loaded 45 skills with usable interface assets
2026-09-01T16:29:19Z	verification	Exercise repository contracts and pstack runtime helpers before installation	The migration changes both prose routing and executable helpers	uv run pytest; uv run ruff check .; bun test; bun run typecheck	222 pytest tests and 52 Bun tests passed; Ruff and strict TypeScript passed
2026-09-01T16:29:19Z	install	Point dot-plugins marketplace at this checkout and reinstall pstack	The remote marketplace snapshot still exposed the old 44-skill artifact	codex plugin marketplace add /Users/pedroproenca/Documents/Projects/dot-plugins; codex plugin add pstack@dot-plugins	Installed cache has 45 skills and byte-matches unslop, make-bot-ui, check-plan, full-mode, and plugin.json
2026-09-01T16:32:09Z	self-audit	Replace the broad Markdown translation rule with an exact translation allowlist	A wildcard could classify a future unreviewed Markdown change as an accepted Codex translation	scripts/check_pstack_cursor_parity.py	The final 80-file ledger rejects unknown paths and binds both source and target bytes with reviewed SHA-256 receipts
2026-09-01T16:38:43Z	review	Remediate the independent review before completion	The reviewer reproduced a false parity pass and found stale Cursor APIs, unsafe network binding, shared-checkout collision risk, and substring session matching	current diff; tests/test_pstack_cursor_parity.py	Digest receipts now fail modified translations; active guidance uses Codex APIs, explicit worktrees, localhost Tailscale Serve, and exact cwd matching
2026-09-01T16:41:08Z	final-review	Accept completion after a fresh read-only re-review	The reviewer reran the mutation test and every validation lane against the remediated tree	gpt-daybreak-blue-latest final_parity_review	No functional blockers remain; source equals installed cache, 45 skills are installed, and generated plugin artifacts were removed
